대화엄수좌원통양중대사균여전	대화엄수좌원통양중대사규녀전
붉은줄된꼬마불나방	불근줄된꼬마불라방
붉은배오색딱따구리	불근배오색딱따구리
불정심다라니경언해	불쩡심다라니경언해
병마도절제사도진무	병마도절쩨사도진무
별박이안주홍불나방	별바기안주홍불라방
벼은무늬윗날개나방	벼은무니윈날개나방
백지묵서묘법연화경	백찌묵써묘범년화경
배추벌레살이금좀벌	배추벌레사리금좀벌
민무늬노랑명충나방	민무니노랑명충나방
물빛긴꼬리부전나비	물삗낀꼬리부전나비
제주큰오색딱따구리	제주크노색딱따구리
정복합체포자동물문	정보캅체포자동물문
정단복합체포자동물	정단보캅체포자동물
책상다리가새틀음	책쌍다리가새트름
참꽃나무겨우살이	참꼰나무겨우사리
참긴더듬이잎벌레	참긴더드미입뻘레
찰파닥찰파닥하다	찰파닥찰파다카다
찰카닥찰카닥하다	찰카닥찰카다카다
찰싸닥찰싸닥하다	찰싸닥찰싸다카다
찰바닥찰바닥하다	찰바닥찰바다카다
찰까닥찰까닥하다	찰까닥찰까다카다
찰가닥찰가닥하다	찰가닥찰가다카다
차근덕차근덕하다	차근덕차근더카다
찌르륵찌르륵하다	찌르륵찌르르카다
찌드럭찌드럭하다	찌드럭찌드러카다
찌근덕찌근덕하다	찌근덕찌근더카다
찌그럭찌그럭하다	찌그럭찌그러카다
쭈르륵쭈르륵하다	쭈르륵쭈르르카다
쫘르륵쫘르륵하다	쫘르륵쫘르르카다
쪼르륵쪼르륵하다	쪼르륵쪼르르카다
쩨꺼덕쩨꺼덕하다	쩨꺼덕쩨꺼더카다
쩔커덕쩔커덕하다	쩔커덕쩔커더카다
쩔꺼덕쩔꺼덕하다	쩔꺼덕쩔꺼더카다
쩔그럭쩔그럭하다	쩔그럭쩔그러카다
쩔거덕쩔거덕하다	쩔거덕쩔거더카다
째까닥째까닥하다	째까닥째까다카다
짤카닥짤카닥하다	짤카닥짤카다카다
짤까닥짤까닥하다	짤까닥짤까다카다
짤그락짤그락하다	짤그락짤그라카다
짤가닥짤가닥하다	짤가닥짤가다카다
짜르륵짜르륵하다	짜르륵짜르르카다
짜드락짜드락하다	짜드락짜드라카다
짜근덕짜근덕하다	짜근덕짜근더카다
짜그락짜그락하다	짜그락짜그라카다
질퍼덕질퍼덕하다	질퍼덕찔퍼더카다
질커덕질커덕하다	질커덕찔커더카다
질버덕질버덕하다	질버덕찔버더카다
직지인심견성성불	직찌인심견성성불
지분덕지분덕하다	지분덕찌분더카다
지부럭지부럭하다	지부럭찌부러카다
지르는편자진한잎	지르는편자진한닙
지드럭지드럭하다	지드럭찌드러카다
지근덕지근덕하다	지근덕찌근더카다
지그럭지그럭하다	지그럭찌그러카다
쥐똥나무저녁나방	쥐똥나무저녕나방
중국얼룩날개모기	중구걸룽날개모기
주자증손여씨향약	주자증손녀씨향약
주물럭주물럭하다	주물럭쭈물러카다
주르륵주르륵하다	주르륵쭈르르카다
좌르륵좌르륵하다	좌르륵쫘르르카다
좁은잎참빗살나무	조븐닙참빋쌀라무
좁은잎보리장나무	조븐닙뽀리장나무
좁은잎미꾸리낚시	조븐님미꾸리낙씨
좀노란창싸리버섯	좀노란창싸리버섣
졸참나무하늘나방	졸참나무하늘라방
조선문자급어학사	조선문짜그버학싸
조불식석불식하다	조불씩썩뿔씨카다
조몰락조몰락하다	조몰락쪼몰라카다
조르륵조르륵하다	조르륵쪼르르카다
대반야바라밀다경	대바냐바라밀따경
대그락대그락하다	대그락때그라카다
대광보국숭록대부	대광보국쑹녹때부
담홍뾰족날개나방	담홍뾰종날개나방
달카닥달카닥하다	달카닥딸카다카다
달까닥달까닥하다	달까닥딸까다카다
달그락달그락하다	달그락딸그라카다
달가닥달가닥하다	달가닥딸가다카다
닥다글닥다글하다	닥따글닥따글하다
다섯목가래질하다	다선목까래질하다
다보록다보록하다	다보록따보로카다
다르륵다르륵하다	다르륵따르르카다
다듬작다듬작하다	다듬작따듬자카다
다다닥다다닥하다	다다닥따다다카다
능원천봉도감의궤	능원천봉도가믜궤
늘푸른바늘잎나무	늘푸른바늘림나무
늘푸른넓은잎나무	늘푸른널븐님나무
는지럭는지럭하다	는지렁는지러카다
누르락푸르락하다	누르락푸르라카다
누르락붉으락하다	누르락뿔그라카다
높으락낮으락하다	노프랑나즈라카다
녹색가위뿔노린재	녹쌕까위뿔로린재
노랑테가시잎벌레	노랑테가시입뻘레
노랑쌍무늬바구미	노랑쌍무니바구미
노랑뾰족민달팽이	노랑뾰종민달팽이
노랑배측범잠자리	노랑배측뻠잠자리
노랑배자루맵시벌	노랑배자루맵씨벌
노랑무늬솔바구미	노랑무니솔바구미
노랑딱지줄반날개	노랑딱찌줄반날개
노랑다리집게벌레	노랑다리집께벌레
노랑날개집게벌레	노랑날개집께벌레
네줄박이좀꽃등에	네줄바기좀꼳뜽에
넓적배허리노린재	넙쩍빼허리노린재
넓적다리불가사리	넙쩍따리불가사리
넓은잎미꾸리낚시	널븐님미꾸리낙씨
넓은잎까치밥나무	널븐닙까치밤나무
넉점박이애매미충	넉쩜바기애매미충
넉점박이송장벌레	넉쩜바기송장벌레
내치락들치락하다	내치락뜰치라카다
내치락들이치락하	내치락뜨리치라카
낯표스라소니거미	낟표스라소니거미
남방작은개미핥기	남방자근개미할끼
난지락난지락하다	난지랑난지라카다
끼루룩끼루룩하다	끼루룩끼루루카다
끝무늬애기자나방	끈무니애기자나방
끝갈색흰가지나방	끋깔쌔킨가지나방
끄르륵끄르륵하다	끄르륵끄르르카다
꿈트럭꿈트럭하다	꿈트럭꿈트러카다
꿈지럭꿈지럭하다	꿈지럭꿈지러카다
꿀찌럭꿀찌럭하다	꿀찌럭꿀찌러카다
꿀꺼덕꿀꺼덕하다	꿀꺼덕꿀꺼더카다
꾸무럭꾸무럭하다	꾸무럭꾸무러카다
꾸르륵꾸르륵하다	꾸르륵꾸르르카다
꾸기적꾸기적하다	꾸기적꾸기저카다
꼼트락꼼트락하다	꼼트락꼼트라카다
꼼지락꼼지락하다	꼼지락꼼지라카다
꼴찌락꼴찌락하다	꼴찌락꼴찌라카다
꼴까닥꼴까닥하다	꼴까닥꼴까다카다
꼭두각시놀음하다	꼭뚜각씨노름하다
꼬무락꼬무락하다	꼬무락꼬무라카다
꼬르륵꼬르륵하다	꼬르륵꼬르르카다
꼬꼬댁꼬꼬댁하다	꼬꼬댁꼬꼬대카다
꼬기작꼬기작하다	꼬기작꼬기자카다
께지럭께지럭하다	께지럭께지러카다
꺼치적꺼치적하다	꺼치적꺼치저카다
꺼뜨럭꺼뜨럭하다	꺼뜨럭꺼뜨러카다
꺼들먹꺼들먹하다	꺼들먹꺼들머카다
꺼드럭꺼드럭하다	꺼드럭꺼드러카다
깨지락깨지락하다	깨지락깨지라카다
까치작까치작하다	까치작까치자카다
까마귀밥여름나무	까마귀밤녀름나무
까르륵까르륵하다	까르륵까르르카다
까뜨락까뜨락하다	까뜨락까뜨라카다
까들막까들막하다	까들막까들마카다
까드락까드락하다	까드락까드라카다
머무적머무적하다	머무정머무저카다
만지작만지작하다	만지장만지자카다
만주긴발톱할미새	만주긴발토팔미새
마름무늬버섯벌레	마름무니버섣뻘레
띠무늬우묵날도래	띠무니우뭉날도래
띠무늬메뚜기붙이	띠무니메뚜기부치
뜨르륵뜨르륵하다	뜨르륵뜨르르카다
뚜드럭뚜드럭하다	뚜드럭뚜드러카다
또드락또드락하다	또드락또드라카다
떼그럭떼그럭하다	떼그럭떼그러카다
떨커덕떨커덕하다	떨커덕떨커더카다
떨꺼덕떨꺼덕하다	떨꺼덕떨꺼더카다
떨그럭떨그럭하다	떨그럭떨그러카다
떨거덕떨거덕하다	떨거덕떨거더카다
떠듬적떠듬적하다	떠듬적떠듬저카다
떠들썩떠들썩하다	떠들썩떠들써카다
때그락때그락하다	때그락때그라카다
딸카닥딸카닥하다	딸카닥딸카다카다
딸까닥딸까닥하다	딸까닥딸까다카다
딸그락딸그락하다	딸그락딸그라카다
딸가닥딸가닥하다	딸가닥딸가다카다
따르륵따르륵하다	따르륵따르르카다
따듬작따듬작하다	따듬작따듬자카다
따다닥따다닥하다	따다닥따다다카다
들이치락내치락하	드리치랑내치라카
득시글득시글하다	득씨글득씨글하다
드르륵드르륵하다	드르륵뜨르르카다
뒷점박이가지나방	뒤쩜바기가지나방
뒷노랑창포밤나방	뒨노랑창포밤나방
뒤치락엎치락하다	뒤치라겁치라카다
뒤스럭뒤스럭하다	뒤스럭뛰스러카다
둥근잎참빗살나무	둥근닙참빋쌀라무
